,postcodeDistrict,retailNum
1293,LE65,6
1294,LE67,21
1295,LE7,8
1296,LE8,11
1297,LE9,17
1298,LL11,11
1299,LL12,9
1300,LL13,14
1301,LL14,9
1302,LL15,4
1303,LL16,4
1304,LL17,1
1305,LL18,22
1306,LL19,9
1307,LL20,5
1308,LL21,1
1309,LL22,4
1310,LL23,2
1311,LL24,1
1312,LL25,1
1313,LL26,2
1314,LL28,3
1315,LL29,6
1316,LL3,1
1317,LL30,8
1318,LL31,5
1319,LL32,1
1320,LL33,1
1321,LL34,2
1322,LL36,2
1323,LL40,4
1324,LL41,3
1325,LL42,3
1326,LL44,1
1327,LL48,1
1328,LL49,5
1329,LL52,1
1330,LL53,7
1331,LL54,2
1332,LL55,10
1333,LL57,11
1334,LL58,3
1335,LL59,1
1336,LL60,1
1337,LL61,2
1338,LL63,1
1339,LL65,10
1340,LL67,1
1341,LL68,2
1342,LL74,3
1343,LL75,1
1344,LL77,7
1345,LN1,8
1346,LN10,3
1347,LN11,14
1348,LN12,7
1349,LN13,4
1350,LN2,13
1351,LN3,2
1352,LN4,11
1353,LN5,16
1354,LN6,25
1355,LN7,1
1356,LN8,3
1357,LN9,5
1358,LS1,16
1359,LS10,13
1360,LS11,11
1361,LS12,10
1362,LS13,8
1363,LS14,6
1364,LS15,8
1365,LS16,8
1366,LS17,12
1367,LS18,5
1368,LS19,4
1369,LS2,9
1370,LS20,5
1371,LS21,3
1372,LS22,8
1373,LS24,1
1374,LS25,12
1375,LS26,6
1376,LS27,6
1377,LS28,8
1378,LS29,8
1379,LS3,4
1380,LS4,2
1381,LS5,3
1382,LS6,7
1383,LS7,9
1384,LS8,8
1385,LS9,9
1386,LU1,13
1387,LU2,9
1388,LU3,12
1389,LU4,7
1390,LU5,12
1391,LU6,7
1392,LU7,15
1393,M1,20
1394,M11,7
1395,M12,3
1396,M13,9
1397,M14,5
1398,M15,10
1399,M16,7
1400,M17,2
1401,M18,4
1402,M19,6
1403,M2,3
1404,M20,11
1405,M21,7
1406,M22,10
1407,M23,8
1408,M24,10
1409,M25,8
1410,M26,6
1411,M27,8
1412,M28,10
1413,M29,6
1414,M3,10
1415,M30,10
1416,M31,2
1417,M32,8
1418,M33,15
1419,M34,7
1420,M35,4
1421,M38,2
1422,M4,8
1423,M40,5
1424,M41,14
1425,M43,3
1426,M44,3
1427,M45,3
1428,M46,7
1429,M5,7
1430,M50,6
1431,M6,8
1432,M60,1
1433,M7,2
1434,M8,8
1435,M9,9
1436,M90,2
1437,ME1,8
1438,ME10,16
1439,ME11,3
1440,ME12,8
1441,ME13,7
1442,ME14,6
1443,ME15,12
1444,ME16,11
1445,ME17,6
1446,ME19,5
1447,ME2,15
1448,ME20,7
1449,ME3,6
1450,ME4,8
1451,ME5,9
1452,ME6,2
1453,ME7,11
1454,ME8,11
1455,ME9,4
1456,MK1,5
1457,MK10,9
1458,MK11,1
1459,MK12,7
1460,MK13,2
1461,MK14,8
1462,MK15,2
1463,MK16,5
1464,MK17,3
1465,MK18,10
1466,MK19,1
1467,MK2,5
1468,MK3,5
1469,MK4,7
1470,MK40,10
1471,MK41,12
1472,MK42,18
1473,MK43,10
1474,MK44,1
1475,MK45,10
1476,MK46,4
1477,MK5,2
1478,MK6,6
1479,MK7,4
1480,MK8,1
1481,MK9,5
1482,ML1,18
1483,ML10,3
1484,ML11,10
1485,ML12,3
1486,ML2,13
1487,ML3,20
1488,ML4,6
1489,ML5,13
1490,ML6,16
1491,ML7,5
1492,ML8,5
1493,ML9,8
1494,Ml8,1
1495,N1,30
1496,N10,5
1497,N11,7
1498,N12,7
1499,N13,2
1500,N14,5
1501,N15,7
1502,N16,9
1503,N17,11
1504,N18,5
1505,N19,9
1506,N2,4
1507,N20,3
1508,N21,4
1509,N22,8
1510,N3,3
1511,N4,15
1512,N5,2
1513,N6,4
1514,N7,15
1515,N8,9
1516,N9,4
1517,NE1,12
1518,NE10,8
1519,NE11,8
1520,NE12,7
1521,NE13,3
1522,NE15,7
1523,NE16,7
1524,NE17,1
1525,NE2,6
1526,NE20,3
1527,NE21,4
1528,NE22,6
1529,NE23,8
1530,NE24,12
1531,NE25,8
1532,NE26,5
1533,NE27,6
1534,NE28,10
1535,NE29,9
1536,NE3,16
1537,NE30,6
1538,NE31,4
1539,NE32,5
1540,NE33,11
1541,NE34,13
